maTTHC;tenTTHC;DoiTuong;LinhVuc;;;;;;
2.001395.H17;Đăng ký hoạt động của doanh nghiệp đấu giá tài sản;Doanh nghiệp;Đấu giá tài sản (Bộ Tư pháp);;;;;;
2.000587.H17;Thủ tục cấp thẻ cộng tác viên trợ giúp pháp lý;"Công dân Việt Nam; Cán bộ, công chức, viên chức";Trợ giúp pháp lý (Bộ Tư pháp);;;;;;
1.001671.H17;Thủ tục cấp giấy phép đưa tác phẩm nhiếp ảnh từ Việt Nam ra nước ngoài triển lãm (thẩm quyền của Sở Văn hóa, Thể thao và Du lịch/Sở Văn hóa và Thể thao);"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX)";Mỹ thuật, nhiếp ảnh, triển lãm (Bộ Văn hóa, Thể thao và Du lịch);;;;;;
1.001182.H17;Thủ tục cấp lại giấy phép tổ chức triển lãm do cá nhân nước ngoài tổ chức tại địa phương không vì mục đích thương mại;Công dân Việt Nam;Mỹ thuật, nhiếp ảnh, triển lãm (Bộ Văn hóa, Thể thao và Du lịch);;;;;;
1.000055.H17;Phê duyệt hoặc điều chỉnh phương án quản lý rừng bền vững của chủ rừng là tổ chức;"Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Hợp tác xã";Lâm nghiệp (Bộ Nông nghiệp và Môi trường);;;;;;
2.002041.H17;Đăng ký thay đổi địa chỉ trụ sở chính, đăng ký đổi tên của doanh nghiệp (đối với doanh nghiệp tư nhân, công ty TNHH, công ty cổ phần, công ty hợp danh);"Công dân Việt Nam; Cán bộ, công chức, viên chức; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Hợp tác xã";Thành lập và hoạt động của doanh nghiệp (Bộ Tài chính);;;;;;
1.009142;Thẩm định, phê duyệt kết quả lựa chọn nhà thầu (UBND quận, huyện);"Doanh nghiệp; Tổ chức (không bao gồm doanh nghiệp, HTX)";Hoạt động xây dựng (Bộ Xây dựng);;;;;;
1.009158;Thẩm định thiết kế và dự toán xây dựng đối với dự án đầu tư có vốn nhà nước ngoài ngân sách hoặc dự án đầu tư sử dụng vốn khác;Tổ chức (không bao gồm doanh nghiệp, HTX);Hoạt động xây dựng (Bộ Xây dựng);;;;;;
1.010540;Thẩm định Báo cáo đề xuất chủ trương đầu tư, nguồn vốn và khả năng cân đối vốn các dự án nhóm B, C vốn ngân sách thành phố (Sở Tài chính là cơ quan chủ trì thẩm định);Tổ chức (không bao gồm doanh nghiệp, HTX);Hoạt động xây dựng (Bộ Xây dựng);;;;;;
2.000950.H17;Thủ tục công nhận tổ trưởng tổ hòa giải (cấp xã);Công dân Việt Nam;Phổ biến giáo dục pháp luật (Bộ Tư pháp);;;;;;
1.012968.H17;Giải thể trường trung học cơ sở, trường phổ thông có nhiều cấp học có cấp học cao nhất là trung học cơ sở (Theo đề nghị của tổ chức, cá nhân thành lập trường);"Công dân Việt Nam; Doanh nghiệp; Tổ chức (không bao gồm doanh nghiệp, HTX)";Giáo dục trung học (Bộ Giáo dục và Đào tạo);;;;;;
2.002780.H17;Cấp đổi giấy phép sử dụng tần số và thiết bị vô tuyến điện đối với mạng thông tin vô tuyến điện nội bộ;"Công dân Việt Nam; Doanh nghiệp; Tổ chức (không bao gồm doanh nghiệp, HTX)";Tần số vô tuyến điện (Bộ Khoa học và Công nghệ);;;;;;
3.000452.H17;Thủ tục chấm dứt hiệu lực hiệu lực của giấy chứng nhận đăng ký cung cấp dịch vụ kiểm định, hiệu chuẩn, thử nghiệm phương tiện đo, chuẩn đo lường;"Doanh nghiệp; Tổ chức (không bao gồm doanh nghiệp, HTX)";Tiêu chuẩn đo lường chất lượng (Bộ Khoa học và Công nghệ);;;;;;
2.000598.H17;Cấp lại Giấy phép phân phối sản phẩm thuốc lá;Doanh nghiệp;Lưu thông hàng hóa trong nước (Bộ Công Thương);;;;;;
1.004117.H17;Cho phép đưa nguồn gen ra nước ngoài phục vụ học tập, nghiên cứu không vì mục đích thương mại;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX)";Bảo tồn thiên nhiên và Đa dạng sinh học (Bộ Nông nghiệp và Môi trường);;;;;;
1.003640.H17;Gia hạn thời gian lưu lại lãnh thổ Việt Nam cho phương tiện vận tải thủy của Campuchia;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Hàng hải và đường thủy nội địa (Bộ Xây dựng);;;;;;
1.012072.H17;Cấp Chứng chỉ hành nghề dịch vụ đại diện quyền đối với giống cây trồng;Công dân Việt Nam;Trồng trọt (Bộ Nông nghiệp và Môi trường);;;;;;
1.013813.H17;Sửa đổi Giấy chứng nhận đủ điều kiện sản xuất thuốc thú y có chứa chất ma tuý, tiền chất (trừ sản xuất thuốc thú y dạng dược phẩm, vắc xin);"Công dân Việt Nam; Người nước ngoài; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức nước ngoài; Hợp tác xã";Thú y (Bộ Nông nghiệp và Môi trường);;;;;;
1.004756.H17;Cấp, gia hạn Chứng chỉ hành nghề thú y (gồm: Sản xuất, kiểm nghiệm, khảo nghiệm, xuất khẩu, nhập khẩu thuốc thú y);"Công dân Việt Nam; Doanh nghiệp; Doanh nghiệp có vốn đầu tư nước ngoài; Tổ chức (không bao gồm doanh nghiệp, HTX); Tổ chức nước ngoài; Hợp tác xã";Thú y (Bộ Nông nghiệp và Môi trường);;;;;;
1.013730.H17;Nhận lại tiền ký quỹ của doanh nghiệp đưa người lao động đi đào tạo, nâng cao trình độ, kỹ năng nghề ở nước ngoài (hợp đồng từ 90 ngày trở lên);Doanh nghiệp;Quản lý lao động ngoài nước (Bộ Nội vụ);;;;;;
1.014111.H17;Thi tuyển công chức;Công dân Việt Nam;Công chức, viên chức (Bộ Nội vụ);;;;;;
1.004528.H17;Thủ tục công nhận điểm du lịch;"Công dân Việt Nam; Người Việt Nam định cư ở nước ngoài; Cán bộ, công chức, viên chức; Doanh nghiệp; Tổ chức (không bao gồm doanh nghiệp, HTX); Hợp tác xã";Du lịch (Bộ Văn hóa, Thể thao và Du lịch);;;;;;
